"Zip.Code","Incidence","Year"
94941,20,2013
94945,39.7,2013
94947,48,2013
94949,48.7,2013
94952,63.5,2013
94954,69,2013
95008,29.8,2013
95012,129.6,2013
95014,12.1,2013
95019,176.7,2013
95020,69.2,2013
95023,73,2013
95032,30.5,2013
95035,32.4,2013
95037,29.2,2013
95050,47.2,2013
95051,37.9,2013
95060,38.1,2013
95062,42.6,2013
95076,94.9,2013
95110,37,2013
95111,58.4,2013
95112,58.3,2013
95116,60.1,2013
95117,67,2013
95118,43.4,2013
95119,68.5,2013
95120,16.5,2013
95121,40.7,2013
95122,58.7,2013
95123,52.3,2013
95124,27.1,2013
95125,27.4,2013
95126,55.3,2013
95127,54,2013
95128,27.5,2013
95129,15.2,2013
95131,27.6,2013
95132,38.3,2013
95133,34.8,2013
95134,45.8,2013
95135,35.8,2013
95136,36.4,2013
95138,32.2,2013
95148,35.5,2013
95202,131.7,2013
95203,144,2013
95204,113,2013
95205,110.5,2013
95206,111.2,2013
95207,96.1,2013
95209,64,2013
95210,92.9,2013
95212,60.4,2013
95215,70.5,2013
95219,47,2013
95240,63.5,2013
95242,40.1,2013
95252,84.5,2013
95301,84.7,2013
95304,54.8,2013
95307,77.8,2013
95315,102.8,2013
95320,65.7,2013
95322,73.4,2013
95324,93.1,2013
95326,51.4,2013
95328,78.2,2013
95330,104.3,2013
95334,71,2013
95336,116.6,2013
95337,92.9,2013
95338,62.5,2013
95340,198.3,2013
95341,139,2013
95348,138.3,2013
95350,108.8,2013
95351,104,2013
95354,102.1,2013
95355,69.9,2013
95356,73.7,2013
95357,70.3,2013
95358,83.2,2013
95360,73.7,2013
95361,61.5,2013
95363,76.3,2013
95366,39.3,2013
95367,62.9,2013
95368,77.1,2013
95370,76.5,2013
95376,96.3,2013
95377,63.8,2013
95380,95.5,2013
95382,37.5,2013
95386,83.2,2013
95388,80.7,2013
95391,59.4,2013
95401,53.6,2013
95403,65.4,2013
95404,50.9,2013
95407,75,2013
95409,48.5,2013
95422,102.8,2013
95437,100.6,2013
95448,47.9,2013
95453,87.3,2013
95472,45.2,2013
95476,50.5,2013
95482,51.2,2013
95490,56.5,2013
95492,26.6,2013
95501,59,2013
95503,75.5,2013
95519,57.1,2013
95521,61.1,2013
95531,84,2013
95540,86.3,2013
95603,33.1,2013
95605,103.7,2013
95608,89.8,2013
95610,62.1,2013
95616,35.4,2013
95618,21.9,2013
95620,76.4,2013
95621,59,2013
95624,62.3,2013
95628,54.6,2013
95630,26.2,2013
95632,52.6,2013
95640,64.4,2013
95648,46.5,2013
95660,87.5,2013
95661,52.4,2013
95662,53.3,2013
95667,48.4,2013
95670,67.4,2013
95673,100,2013
95677,58.9,2013
95678,49.6,2013
95682,25.3,2013
95687,76.5,2013
95688,88.5,2013
95691,67.2,2013
95695,55.5,2013
95747,30.6,2013
95757,52.4,2013
95758,70.8,2013
95762,29.5,2013
95765,36.1,2013
95776,54.2,2013
95815,102.1,2013
95817,140.4,2013
95818,100.7,2013
95819,46.6,2013
95820,118.2,2013
95821,114.6,2013
95822,100.9,2013
95823,142.3,2013
95824,126.3,2013
95825,171.4,2013
95826,88.5,2013
95827,50.9,2013
95828,111.3,2013
95829,50.6,2013
95831,58.1,2013
95832,109.3,2013
95833,96.4,2013
95834,106.1,2013
95835,76.9,2013
95838,115,2013
95841,115,2013
95842,99.8,2013
95843,70,2013
95864,63,2013
95901,45.7,2013
95926,60.5,2013
95928,46.6,2013
95932,66.4,2013
95945,69.8,2013
