"Zip.Code","Incidence","Year"
92869,17.6,2013
92870,26.4,2013
92879,36.5,2013
92880,21.6,2013
92881,17.1,2013
92882,28,2013
92883,20.8,2013
92886,22.8,2013
92887,10.4,2013
93001,32.2,2013
93003,21.9,2013
93004,19.4,2013
93010,24.8,2013
93012,18.6,2013
93013,17.9,2013
93015,28.1,2013
93021,22.2,2013
93022,38.6,2013
93023,46.2,2013
93030,69.9,2013
93033,27.4,2013
93035,18.9,2013
93036,26.8,2013
93041,32.1,2013
93060,36,2013
93063,23.2,2013
93065,24.8,2013
93101,41.8,2013
93103,29.6,2013
93105,15.8,2013
93110,23.2,2013
93111,20.3,2013
93117,13.4,2013
93202,158.6,2013
93203,28.6,2013
93204,25.5,2013
93210,24.3,2013
93212,47.7,2013
93215,31.8,2013
93219,46.9,2013
93221,19,2013
93223,55.9,2013
93230,108.6,2013
93234,35.8,2013
93235,82.7,2013
93240,60.5,2013
93241,23.6,2013
93242,60.3,2013
93245,61.4,2013
93247,39.2,2013
93250,36.3,2013
93256,39,2013
93257,40.1,2013
93263,36.4,2013
93267,40.6,2013
93268,22.6,2013
93270,40.9,2013
93274,52.3,2013
93277,39.7,2013
93280,23.3,2013
93286,40.9,2013
93291,49.5,2013
93292,30.1,2013
93301,151.8,2013
93304,86.7,2013
93305,97.9,2013
93306,47.4,2013
93307,69.5,2013
93308,62.8,2013
93309,48.1,2013
93311,22.9,2013
93312,17.4,2013
93313,34.2,2013
93314,13.8,2013
93401,24.1,2013
93402,28.1,2013
93405,16.5,2013
93420,29.5,2013
93422,25.6,2013
93433,35.9,2013
93436,47.7,2013
93442,21.6,2013
93444,32.9,2013
93445,31,2013
93446,31,2013
93454,39.9,2013
93455,29.5,2013
93458,28.3,2013
93463,24.7,2013
93465,48.1,2013
93501,78.9,2013
93505,45.9,2013
93510,32.6,2013
93514,34.3,2013
93534,118.4,2013
93535,97.3,2013
93536,35.2,2013
93543,41.3,2013
93546,36.4,2013
93550,79.4,2013
93551,30.2,2013
93552,46.4,2013
93555,53,2013
93560,34,2013
93561,26.7,2013
93591,75.6,2013
93602,36.5,2013
93610,25.7,2013
93611,34,2013
93612,65.8,2013
93618,18.4,2013
93619,13.5,2013
93620,115.9,2013
93622,28.2,2013
93625,45.4,2013
93630,29.3,2013
93631,36.8,2013
93635,101.5,2013
93636,17.9,2013
93637,33.8,2013
93638,47.2,2013
93640,29.9,2013
93646,56.8,2013
93647,29.7,2013
93648,53.3,2013
93650,164.7,2013
93654,41.7,2013
93656,32.7,2013
93657,31.8,2013
93662,57.9,2013
93667,69.3,2013
93701,129.5,2013
93702,89.5,2013
93703,108.7,2013
93704,64.4,2013
93705,75.9,2013
93706,86.3,2013
93710,52.7,2013
93711,25.3,2013
93720,22,2013
93721,61.6,2013
93722,53.4,2013
