Zip Code,Incidence
94806,123
94901,45.9
94903,47.9
94928,51.5
94941,20
94945,39.7
94947,48
94949,48.7
94952,63.5
94954,69
95008,29.8
95012,129.6
95014,12.1
95019,176.7
95020,69.2
95023,73
95032,30.5
95035,32.4
95037,29.2
95050,47.2
95051,37.9
95060,38.1
95062,42.6
95076,94.9
95110,37
95111,58.4
95112,58.3
95116,60.1
95117,67
95118,43.4
95119,68.5
95120,16.5
95121,40.7
95122,58.7
95123,52.3
95124,27.1
95125,27.4
95126,55.3
95127,54
95128,27.5
95129,15.2
95131,27.6
95132,38.3
95133,34.8
95134,45.8
95135,35.8
95136,36.4
95138,32.2
95148,35.5
95202,131.7
95203,144
95204,113
95205,110.5
95206,111.2
95207,96.1
95209,64
95210,92.9
95212,60.4
95215,70.5
95219,47
95240,63.5
95242,40.1
95252,84.5
95301,84.7
95304,54.8
95307,77.8
95315,102.8
95320,65.7
95322,73.4
95324,93.1
95326,51.4
95328,78.2
95330,104.3
95334,71
95336,116.6
95337,92.9
95338,62.5
95340,198.3
95341,139
95348,138.3
95350,108.8
95351,104
95354,102.1
95355,69.9
95356,73.7
95357,70.3
95358,83.2
95360,73.7
95361,61.5
95363,76.3
95366,39.3
95367,62.9
95368,77.1
95370,76.5
95376,96.3
95377,63.8
95380,95.5
95382,37.5
95386,83.2
95388,80.7
95391,59.4
95401,53.6
95403,65.4
95404,50.9
95407,75
95409,48.5
95422,102.8
95437,100.6
95448,47.9
95453,87.3
95472,45.2
95476,50.5
95482,51.2
95490,56.5
95492,26.6
95501,59
95503,75.5
95519,57.1
95521,61.1
95531,84
95540,86.3
95603,33.1
95605,103.7
95608,89.8
95610,62.1
95616,35.4
95618,21.9
95620,76.4
95621,59
95624,62.3
95628,54.6
95630,26.2
95632,52.6
95640,64.4
95648,46.5
95660,87.5
95661,52.4
95662,53.3
95667,48.4
95670,67.4
95673,100
95677,58.9
95678,49.6
95682,25.3
95687,76.5
95688,88.5
95691,67.2
95695,55.5
95747,30.6
95757,52.4
95758,70.8
95762,29.5
95765,36.1
95776,54.2
95815,102.1
95817,140.4
95818,100.7
95819,46.6
95820,118.2
95821,114.6
95822,100.9
95823,142.3
95824,126.3
95825,171.4
95826,88.5
95827,50.9
95828,111.3
95829,50.6
95831,58.1
95832,109.3
95833,96.4
95834,106.1
95835,76.9
95838,115
95841,115
95842,99.8
95843,70
95864,63
95901,45.7
95926,60.5
95928,46.6
95932,66.4
95945,69.8
95948,46.7
95954,64.2
95961,45.1
95963,37.1
95965,80.5
95966,104.6
95969,46.8
95973,38.1
95987,84.5
95991,31.8
95993,21.5
96001,80
96002,66.3
96003,70
96007,66.2
96019,61.4
96021,42.6
96022,89.1
96080,72.6
96097,76.6
96130,68.4
96150,20.2
