Zip Code,Incidence
94510,39.8
94511,82.2
94513,32.1
94517,22.1
94518,33.9
94519,45.2
94520,98.9
94521,43.6
94523,35
94525,41
94526,19.6
94530,34
94531,78
94533,86.1
94534,31.6
94536,36.5
94538,40.1
94539,9.7
94541,88.7
94542,26.4
94544,77.2
94545,87.5
94546,55.9
94547,49.4
94549,18.1
94550,22.7
94551,33.2
94552,22.6
94553,61.8
94555,26.9
94556,11
94558,35.1
94559,43.4
94560,45.4
94561,60.2
94563,17
94564,37.9
94565,110.8
94566,20.1
94568,21.7
94571,56.5
94572,86.8
94574,22.1
94577,57.3
94578,78
94579,42.7
94580,52.3
94582,16.4
94583,30.2
94585,77.7
94587,50.4
94588,17.9
94589,114.2
94590,150.7
94591,64.7
94595,18.7
94596,25.7
94597,21
94598,16.2
94601,91.2
94602,66.7
94603,168.2
94605,143.6
94606,77.3
94607,137
94608,100.2
94609,82.2
94610,29.8
94611,23.1
94612,100.7
94618,12.2
94619,69.1
94621,160.2
94702,59.4
94703,70.8
94704,33.9
94705,28
94706,19.3
94707,19.7
94708,10.2
94709,18.5
94710,62.3
94801,138
94803,42.5
94804,116.7
94805,40.8
94806,80
94901,27.7
94903,25.9
94904,18.5
94925,25.8
94928,37.4
94930,25.5
94931,33.2
94941,16.9
94945,35.4
94947,30.5
94949,38
94952,26.8
94954,35.3
94960,12.3
94965,24.3
95003,18.5
95006,17.4
95008,22
95010,45.9
95012,59.7
95014,8.4
95019,48.4
95020,45.3
95023,46.8
95030,11.8
95032,17.9
95033,17.8
95035,18
95037,25.1
95046,44.6
95050,21.1
95051,14.9
95054,19.2
95060,30.8
95062,25.4
95065,30.8
95066,23.7
95070,10.3
95073,30.8
95076,39.2
95110,24.8
95111,43.8
95112,54
95116,55.2
95117,29.8
95118,34.2
95119,31.5
95120,16.9
95121,32
95122,49.5
95123,41.5
95124,20.4
95125,32.7
95126,39.7
95127,41.4
95128,46
95129,15.1
95130,26.3
95131,27
95132,19.9
95133,26
95134,16.5
95135,15.8
95136,26
95138,17.7
95139,35.9
95148,31
95202,248
95203,99.7
95204,62.1
95205,90.7
95206,68.7
95207,70.7
95209,48.9
95210,80.8
95212,30.6
95215,50.3
95219,33
95231,62.2
95240,35.5
95242,18.8
95249,134.3
95252,44.2
95258,43.8
95301,47
95304,43.1
95307,34.8
95315,28.3
95316,38.2
95320,28.5
95322,42.6
95326,29.7
95327,38.2
95328,40.9
95330,65.9
95334,30
95336,85.9
95337,52.5
95338,55.4
95340,120.4
95341,68.9
95348,64.8
95350,77
95351,84.1
95354,72.6
95355,55.2
95356,39.6
95357,39.4
95358,55.8
95360,23
95361,47.1
95363,24.2
95365,100.1
95366,43.8
95367,46.9
95368,41.3
95370,56.9
95376,96
95377,42.1
95380,56.7
95382,28.1
95383,35.8
95386,44.9
95388,48.7
95391,37.9
95401,54
95403,44.5
95404,44.6
95405,27.4
95407,58.1
95409,30.6
95422,111.3
95423,78.1
95425,19.8
95436,73
95437,62.6
95446,25.5
95448,33.5
95451,34.9
95453,44.4
95457,173.5
95458,100.2
95464,73.9
95470,50.4
95472,29
95476,14.4
95482,63.9
95490,67
95492,33.7
95501,87.4
95503,57.2
95519,64.4
95521,40.5
