"Year","Month","COUNTY","Date","NO2","O3","PM2.5"
2014,6,"Santa Clara",2014-06-01,14.75,34.5714285714286,33
2014,6,"Stanislaus",2014-06-01,18.5,87.3333333333333,35.125
2014,6,"Calaveras",2014-06-01,NA,46.6666666666667,25
2014,7,"Imperial",2014-07-01,10.2857142857143,49.5,42.2857142857143
2014,7,"Los Angeles",2014-07-01,18.1,53.2857142857143,55.9
2014,7,"Marin",2014-07-01,7.66666666666667,22,38
2014,7,"San Bernardino",2014-07-01,25.1578947368421,85.7857142857143,43.8181818181818
2014,7,"San Francisco",2014-07-01,12.3333333333333,18,20.5
2014,7,"San Mateo",2014-07-01,11,23.25,21.3333333333333
2014,7,"Santa Clara",2014-07-01,10.6666666666667,32.8461538461538,29.1111111111111
2014,7,"Stanislaus",2014-07-01,14.3333333333333,81.4285714285714,25.5555555555556
2014,7,"Calaveras",2014-07-01,NA,70,38
2014,8,"Imperial",2014-08-01,14.8571428571429,46.7777777777778,45.6666666666667
2014,8,"Los Angeles",2014-08-01,21.093023255814,54.953488372093,45.1666666666667
2014,8,"Marin",2014-08-01,9.66666666666667,25,35.25
2014,8,"San Bernardino",2014-08-01,22.6666666666667,81.35,39.8888888888889
2014,8,"San Francisco",2014-08-01,8.25,20.3333333333333,30
2014,8,"San Mateo",2014-08-01,10.6666666666667,24.6666666666667,24
2014,8,"Santa Clara",2014-08-01,15,33.7333333333333,25.9
2014,8,"Stanislaus",2014-08-01,13.3333333333333,66,37.8333333333333
2014,8,"Calaveras",2014-08-01,NA,54.5,34.5
2014,9,"Imperial",2014-09-01,23,44.2857142857143,38.6666666666667
2014,9,"Los Angeles",2014-09-01,24.8780487804878,54.6666666666667,49.9545454545455
2014,9,"Marin",2014-09-01,14.5,25.5,43.75
2014,9,"San Bernardino",2014-09-01,28,75.7692307692308,41.6363636363636
2014,9,"San Francisco",2014-09-01,14.3333333333333,25.25,38
2014,9,"San Mateo",2014-09-01,16.6666666666667,35.3333333333333,39
2014,9,"Santa Clara",2014-09-01,19,36.4166666666667,35.4444444444444
2014,9,"Stanislaus",2014-09-01,25.25,59.5,36.25
2014,9,"Calaveras",2014-09-01,NA,51.3333333333333,32.5
2014,10,"Imperial",2014-10-01,33.75,52.4166666666667,44.5714285714286
2014,10,"Los Angeles",2014-10-01,32.025,59.6829268292683,50.6470588235294
2014,10,"Marin",2014-10-01,16.6666666666667,26.6666666666667,34
2014,10,"San Bernardino",2014-10-01,32.9545454545455,58.7380952380952,36.1
2014,10,"San Francisco",2014-10-01,34.6666666666667,30,30.3333333333333
2014,10,"San Mateo",2014-10-01,29.25,38.5,25.5
2014,10,"Santa Clara",2014-10-01,28.8333333333333,41.2857142857143,29.4166666666667
2014,10,"Stanislaus",2014-10-01,21,37,24.25
2014,10,"Calaveras",2014-10-01,NA,39,24
2014,11,"Imperial",2014-11-01,29,37.2222222222222,42
2014,11,"Los Angeles",2014-11-01,32,36.05,42.2857142857143
2014,11,"Marin",2014-11-01,27.6666666666667,27.6666666666667,39.75
2014,11,"San Bernardino",2014-11-01,35.1111111111111,39.3636363636364,44
2014,11,"San Francisco",2014-11-01,25.75,28,30.75
2014,11,"San Mateo",2014-11-01,37.6666666666667,25.3333333333333,29.3333333333333
2014,11,"Santa Clara",2014-11-01,29.4285714285714,27.2307692307692,41.1111111111111
2014,11,"Stanislaus",2014-11-01,23,25.75,71
2014,11,"Calaveras",2014-11-01,NA,27.6666666666667,34.6666666666667
