"Year","County","Mean.Incidence.Adults","Mean.Incidence.Children"
2016,"Sacramento",57.4023255813953,85.5578947368421
2016,"San Benito",36.9,76.9
2016,"San Bernardino",54.6767857142857,88.1836734693878
2016,"San Diego",24.3837837837838,54.8442857142857
2016,"San Francisco",46.6,78.25
2016,"San Joaquin",56.236,82.8047619047619
2016,"San Luis Obispo",31.6916666666667,70.4444444444444
2016,"San Mateo",30.3631578947368,49.1411764705882
2016,"Santa Barbara",30.0466666666667,77.97
2016,"Santa Clara",41.7608695652174,36.774358974359
2016,"Santa Cruz",23.0272727272727,52.92
2016,"Shasta",35.1142857142857,65.12
2016,"Siskiyou",46.15,54.5
2016,"Solano",70.6727272727273,109.1
2016,"Sonoma",28.8125,50.8416666666667
2016,"Stanislaus",42.0941176470588,71.0777777777778
2016,"Sutter",26.8666666666667,52.8666666666667
2016,"Tehama",59.6,97.6333333333333
2016,"Tulare",32.5785714285714,69.96875
2016,"Tuolumne",64.1666666666667,72.7
2016,"Ventura",27.0666666666667,54.9666666666667
2016,"Yolo",30.9285714285714,62.1571428571429
2016,"Yuba",41.5,44.6
2017,"Alameda",44.5066666666667,96.2219512195122
2017,"Amador",56.68,68
2017,"Butte",46.5,66.5
2017,"Calaveras",104.275,60.7
2017,"Colusa",25.6,107.3
2017,"Contra Costa",45.4027777777778,77.8607142857143
2017,"Del Norte",48.5,95.5
2017,"El Dorado",45.4875,38.1
2017,"Fresno",54.9121212121212,156.640540540541
2017,"Glenn",51.3,35.4
2017,"Humboldt",82.46,71.34
2017,"Imperial",46.6428571428571,167.7625
2017,"Inyo",59.5,93.8
2017,"Kern",50.4851851851852,89.5304347826087
2017,"Kings",53.22,148.25
2017,"Lake",77.075,134
2017,"Lassen",52.8,52.2
2017,"Los Angeles",37.3728682170543,76.1753246753247
2017,"Madera",33.1166666666667,120.083333333333
2017,"Marin",23.87,37.58
2017,"Mariposa",67.5,NA
2017,"Mendocino",70.06,213.825
2017,"Merced",55.9083333333333,126.290909090909
2017,"Modoc",146.6,152.2
2017,"Mono",36.7,NA
2017,"Monterey",37.14,87.7
2017,"Napa",34.26,53.0333333333333
2017,"Nevada",33.64,53.6
2017,"Orange",20.9013333333333,49.8942028985507
2017,"Placer",33.9,48.1444444444444
2017,"Plumas",66.6,248.15
2017,"Riverside",38.1762711864407,65.8333333333333
2017,"Sacramento",62.4325581395349,91.2421052631579
2017,"San Benito",44.65,88.1
2017,"San Bernardino",56.5965517241379,78.9224489795918
2017,"San Diego",23.3383561643836,57.4449275362319
2017,"San Francisco",33.128,81.3
2017,"San Joaquin",65.0115384615385,85.4260869565217
2017,"San Luis Obispo",25.3090909090909,62.7444444444444
2017,"San Mateo",42.2,48.3352941176471
2017,"Santa Barbara",25.6142857142857,65.7444444444444
2017,"Santa Clara",44.4708333333333,40.9275
2017,"Santa Cruz",20.4222222222222,50.86
2017,"Shasta",40.6833333333333,66.1666666666667
2017,"Siskiyou",44.25,65.1
2017,"Solano",80.6818181818182,115.863636363636
2017,"Sonoma",35.84375,55.6583333333333
2017,"Stanislaus",49.365,75.3111111111111
2017,"Sutter",28.0666666666667,54.3666666666667
2017,"Tehama",55.3,113.55
2017,"Trinity",108.1,NA
2017,"Tulare",36.6692307692308,68.44375
2017,"Tuolumne",55.32,82
2017,"Ventura",32.4181818181818,50.5277777777778
2017,"Yolo",44.8125,67.1428571428571
2017,"Yuba",49.6,56.55
